id,path,title,checksum,expected_sections_count
72b5dc6a-6696-46d2-b1af-cbc4cb1ee47c,going-deeper/instrumentation,instrumentation,c695513264c9fe6676c1e7e639a229f8282afd04e575cf5b090ae97d421899e9,5
dd7b5e9a-1bb3-4f26-b261-3f950171bea0,architecture/queries,queries,3a9bc87065b13254c9906d258b2e3132d35e93f5dfe70afe50102ae1218d21f8,9
f59ade39-3e7a-4547-91f3-3fc0098f69f9,architecture/notifications,notifications,c2f35e4a3a864b218ee9c7b4a6f7f0b0d861c8404adfa6a64565f63894ae0175,6
aa216d33-d708-4a7a-acd8-9e9852500093,booster-cli,booster-cli,72e0a4713d6a13e9bf4e3b323edd3971d6ea68cde5f5ef798a496294fb28719b,5
159f47bd-933c-4b46-a4d1-c2619e8513b6,going-deeper/custom-providers,custom-providers,b59687fa6f6875453f65078d2b333000277c015cc6a0a1fe0094e2e951ecf1d8,11
6e297d4a-242b-4e75-aae9-81b7d9de6676,features/logging,logging,90e52d4130f9f363fc6d636c2d6483f51a122a655e41275652d3d865aa38d7ac,3
bb74ea2f-43a6-44da-b9b1-e9d035743db5,introduction,introduction,32d686267e789ee3e5dd2b476a126856f1790ae6d182826f6b0ee0da81ef05ab,4
7e67a314-91d9-4d26-8932-bb591c4d372c,going-deeper/sensor,sensor,7022fc6acab97019330dba61703dbec009b4e24d0bd31aa216890a0c445f025a,1
db7d0c35-4642-43e2-91e6-87fd3566f817,going-deeper/testing,testing,522a6438ba43bee7ad44997ef753fe2bd215cace163f1e7cdf1dc0ae914a67cf,5
0355cd34-2827-4694-a5fa-2e6f63e62d90,getting-started/coding,coding,6584fc99b7ca5b623f0e10f2d05130091062f2c639ee795eb43a0af4aecd6a53,18
bd7de8db-2d72-4404-a30d-e52287772c8e,contributing,contributing,18890e35c0127d5565c774c6c7a1706cfc4ee5c819b4c085d98138aa40524301,26
ec9fd5f9-2296-42d3-a63f-22476b1878ba,architecture/event-driven,event-driven,c01856d84eba6a0f44eccd3cfeeb39b0c096702c871b3979c8f8279fa3361af6,2
db013fe2-9b52-44a0-8099-1e01b298701f,going-deeper/environment-configuration,environment-configuration,b9a80d6f372330331ce67f4d9faede627f36f4dfc7b44275956d1d1bbfa2a597,1
afef39f7-2ed7-4682-a0aa-78f29c3498f4,proposals/0000-index/index,index,c47dc21b1b4b200294517445c172d552203030cecdc23bb5f23cb1e8d562c49e,1
5e22ffb6-dec0-495a-befc-ec7dcc249dab,going-deeper/azure-scale,azure-scale,15e72d465f468f4c768ab1a28e456204c7f5b73aacad8818c22c9c48a7fe4588,5
562f22be-3647-4936-acbe-7ac8e3b3b702,going-deeper/health/sensor-health,sensor-health,6497538857e60364310d32fbb6be165b6e87e2706ef1e36aabb955894cfa68c3,20
94c66788-dfb0-4925-8ec3-347dd93667f2,going-deeper/framework-packages,framework-packages,1a190b61a65e4ef31ca083d926cdd250581cf43578a27be2c24cda7d953a25c5,3
9b722e9a-dde4-4827-84c9-075fc132c56b,features/error-handling,error-handling,04330f04d1bc5ab06242f0d944128dea9df50c07fb5a9ad3501eb7b75d304d78,9
e6357f56-1b83-48c2-96fc-2fd64e5eb4fd,architecture/event-handler,event-handler,8b233998e7ed543966e54f80f2eb7893e5fa4ca2422dfb2c3d0cdd1c73a8696a,7
e300a133-4b4b-4214-afca-2bc1d9e89d77,going-deeper/custom-templates,custom-templates,9720b67969a93ad8378b01eabbaabf64e3a39d6a23a9bdf4cd85291173028fb0,2
ce13cc7a-661e-4848-a0a1-56aac8a348b2,going-deeper/data-migrations,data-migrations,b5cb975ef17e3671aaf8cfa974e4be3c04112545878f6cbb6ce22cb7fc85ae67,8
5312b6b5-6859-42eb-af4a-8987e15a6d81,architecture/event,event,e7d763fff46cea0c760424e20a7dd50b0dd89da00c96b665a6011d911c6531b8,9
5c715c3e-755e-4e28-8272-2960ac3f5970,going-deeper/rockets/rocket-static-sites,rocket-static-sites,88c6e1f5bada2552350a5a9c669acb8040f269d023112a9645d2284418351aa2,2
70e1b3e1-ce0f-422f-bb5e-4268043946da,proposals/0001-purpose-and-guidelines/index,index,d123659cb5dca288ecb481d34807e26fb18ac2792578f21b31f0c139019184f4,4
fcf538a3-cb0d-4d1f-b821-e915ad98edc5,architecture/entity,entity,fd818d2eef9adac8ccea7eb8db3efd5306abe7ce28aade84f7f36ccd313fa54f,9
9aa82306-779c-4eb8-85aa-6e03fc74f0f7,proposals/0004-semantic-versioning/index,index,7cfdef3cb1995c6f52677c0ce56b6629bd7d3364fe300b3bdad1b3fb28020160,8
e6192265-d1a9-4e80-99ed-72868f914475,frequently-asked-questions,frequently-asked-questions,205be2ba99189ea1fd0b082d169553046dbcdb8255b9528fb42c456f94680b95,1
9b798baf-e3f2-4181-b8a4-d7ea10e5d779,architecture/command,command,6968f77be7f4e16ebbc9e0c8d0976956f67feb96a0da8586b4ecbf3530d0679d,14
223c74c2-662b-418e-aa5b-0b667a3e11e2,going-deeper/register,register,c31bd61b987cc61889cfb5e79030a28aeebcef9116d32ea4d481d21aea4c804a,7
b89da2a3-5939-4fae-88e6-47a0dd3f2c92,getting-started/installation,installation,473fb7932d2b7bf1cccc22f26e2ce9227638303cc4c62b45d00a1dd4fd56783f,6
4f11f6d7-956a-4d00-8ec6-8aa219f84b73,going-deeper/rockets/rocket-backup-booster,rocket-backup-booster,3aff605a76956869c34d00e5cda4c4c3d7856c0fb37622eeec7963600c2b3571,2
59478099-be29-430d-825d-7183f26705aa,architecture/read-model,read-model,e74551c63c9b963cee27fba4f6f987d2607b4d6fc9c62d68a1a337fb3803b94d,19
fd6a63c8-8308-45f7-979b-192ddeecdda1,going-deeper/rockets/rocket-file-uploads,rocket-file-uploads,8d7d67bca2a3c2633addd3b7c72bea1a7eac6a060556d3603d1e49c327458539,12
71f357f6-5104-4655-aaef-7992e7ee0cd5,security/authorization,authorization,8a6ed719308da5a53237dbc445dbe17964211b70f9c591f83b03dae247c14b11,12
95a00f8b-ccbd-4f6b-b213-7361e68464da,security/security,security,fffcda5a386d2fb18d6c17ec59f9e341011cbb14551924681e352722212e9042,2
9c510c30-1d65-479f-9d09-88b17f55a174,proposals/0002-project-target/index,index,0114f6b261a3c8f7f9e1d3688530100e1b741982094fb74642f053b08df6fd4c,9
881334f1-265a-4370-8c59-fd38c26850f4,features/event-stream,event-stream,0f173acb4effebfc433effe504cb4eb790872cd3233a6d938a931eba7451deb7,3
7b0aacf4-01b7-48e0-9125-416750845f22,going-deeper/rockets/rocket-webhook,rocket-webhook,d8cd8b0b1e50d054c6affad0476d695b13f2a900f4c221850dc042ba1b9b0b8f,6
